Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content TypeAbstract,Title-fixec,Authors-fixed
"Abstracts of the 25th Annual Conference of APASL, February 20 24, 2016, Tokyo, Japan",Hepatology International,,10,1,10.1007/s12072-016-9707-8,,2016,http://link.springer.com/article/10.1007/s12072-016-9707-8,Article,,,"Abstracts of the 25th Annual Conference of APASL, February 20 24, 2016, Tokyo, Japan"
Natural Language Basics,Text Analytics with Python,,,,10.1007/978-1-4842-2388-8_1,Dipanjan Sarkar,2016,http://link.springer.com/chapter/10.1007/978-1-4842-2388-8_1,Chapter,"We have ushered in the age of Big Data where organizations and businesses are having difficulty managing all the data generated by various systems, processes, and transactions.",Dipanjan Sarkar,
Near Field Cosmology: The Origin of the Galaxy and the Local Group,The Origin of the Galaxy and Local Group,,,,10.1007/978-3-642-41720-7_1,Joss Bland-HawthornKenneth Freeman,2014,http://link.springer.com/chapter/10.1007/978-3-642-41720-7_1,Chapter,The Galaxy has built up through a process of accretion and merging over billions of years which continues to this day. Astronomers are now embarking on a new era of massive stellar surveys over the coming decade.,"Joss Bland-Hawthorn, Kenneth Freeman",
Retrofitting Autonomic Capabilities onto Legacy Systems,Cluster Computing,,9,2,10.1007/s10586-006-7560-6,Janak ParekhGail KaiserPhilip GrossGiuseppe Valetto,2006,http://link.springer.com/article/10.1007/s10586-006-7560-6,Article,"sec:abstractnak Autonomic computing-self-configuring, self-healing, self-managing applications, systems and networks-is a promising solution to ever-increasing system complexity and the spiraling costs of human management as systems scale to global proportions. Most results to date, however, suggest ways to architect new software designed from the ground up as autonomic systems, whereas in the real world organizations continue to use stovepipe legacy systems and/or build ""systems of systems"" that draw from a gamut of disparate technologies from numerous vendors. Our goal is to retrofit autonomic computing onto such systems, externally, without any need to understand, modify or even recompile the target system's code. We present an autonomic infrastructure that operates similarly to active middleware, to explicitly add autonomic services to pre-existing systems via continual monitoring and a feedback loop that performs reconfiguration and/or repair as needed. Our lightweight design and separation of concerns enables easy adoption of individual components for use with a variety of target systems, independent of the rest of the full infrastructure. This work has been validated by several case studies spanning multiple real-world application domains.","Janak Parekh, Gail Kaiser, Philip Gross, Giuseppe Valetto",Retrofitting Autonomic Capabilities onto Legacy Systems
Abstracts,Der Ophthalmologe,,99,1,10.1007/s003470200000,,2002,http://link.springer.com/article/10.1007/s003470200000,Article,,,Abstracts
Ab-Ag affinity thresholds in inventory optimization,Acta Biotheoretica,,42,4,10.1007/BF00707395,Rajani R. Joshi,1994,http://link.springer.com/article/10.1007/BF00707395,Article,"The role of antibody-antigen affinity and concentrations in adaptive antibody response is analyzed in a framework of probabilistic inventory model for antibody production. Our results indicate significant differences in optimal behaviours of low, moderate and high affinity groups and offer important implications. Interestingly, the involved approach is also of relevance in other production systems. Directions for its applications in industries and information sciences are also presented.",Rajani R. Joshi,Ab-Ag affinity thresholds in inventory optimization
Abstracts,Journal of Nuclear Cardiology,,2,2,10.1016/S1071-3581(05)80090-X,,1995,http://link.springer.com/article/10.1016/S1071-3581%2805%2980090-X,Article,,,Abstracts
Pattern Analysis and Classification,Chemometrics in Environmental Chemistry - Statistical Methods,,,,10.1007/978-3-540-49148-4_9,Danny H. CoomansOlivier Y. de Vel,1995,http://link.springer.com/chapter/10.1007/978-3-540-49148-4_9,Chapter,"Various pattern classification techniques used in the context of environmental chemistry are presented. Both parametric and non-parametric Bayesian classifiers are outlined, as well as artificial intelligence-based techniques such as artificial neural networks and classification trees. A comparative analysis of the performance of some of the pattern classification methods is also given and several environmental applications are used to illustrate the various classifiers. A brief discussion on the software packages that are available is also included.","Danny H. Coomans, Olivier Y. de Vel",
Abstracts,Journal of Nuclear Cardiology,,4,1,10.1016/S1071-3581(97)91114-4,,1997,http://link.springer.com/article/10.1016/S1071-3581%2897%2991114-4,Article,,,Abstracts
Curve Fitting,From Curve Fitting to Machine Learning,,,,10.1007/978-3-642-21280-2_2,Achim Zielesny,2011,http://link.springer.com/chapter/10.1007/978-3-642-21280-2_2,Chapter,"Two dimensional curve fitting starts with experimental xy-error data (points in diagram below) which consist of data triples (x i ,y i ,  i ) with an argument value x i , a corresponding dependent value y i  and the (not illustrated) statistical error   i  of the y i  value (again note that xy-error data are generated by experimental setups which specify a xi value and measure a corresponding y i  value for that fixed x i  value where the errors of all x i  values are not taken into account, i.e. all x i  values are considered to be error-free since their errors propagate to corresponding bigger errors   i  of the dependent y i  values)",Achim Zielesny,
"Abstracts der 109. Jahrestagung der Deutschen Gesellschaft für Kinder und Jugendmedizin e.V. (DGKJ). Gemeinsam mit der
65. Jahrestagung der Deutschen Gesellschaft für Sozialpadiatrie und Jugendmedizin (DGSPJ)
51. Herbsttagung der Deutschen Gesellschaft für Kinderchirurgie (DGKCH)
35. Jahrestagung des Berufsverbandes Kinderkrankenpflege Deutschland (BeKD)
30. Jahrestagung der Arbeitsgemeinschaft Pädiatrische Immunologie (API)
49. Arbeitstagung Pädiatrische Forschung",Monatsschrift Kinderheilkunde,,161,2,10.1007/s00112-013-2984-6,,2013,http://link.springer.com/article/10.1007/s00112-013-2984-6,Article,,,"Abstracts der 109. Jahrestagung der Deutschen Gesellschaft für Kinder und Jugendmedizin e.V. (DGKJ). Gemeinsam mit der
65. Jahrestagung der Deutschen Gesellschaft für Sozialpadiatrie und Jugendmedizin (DGSPJ)
51. Herbsttagung der Deutschen Gesellschaft für Kinderchirurgie (DGKCH)
35. Jahrestagung des Berufsverbandes Kinderkrankenpflege Deutschland (BeKD)
30. Jahrestagung der Arbeitsgemeinschaft Pädiatrische Immunologie (API)
49. Arbeitstagung Pädiatrische Forschung"
"EPSM 2016, Engineering and Physical Sciences in Medicine",Australasian Physical & Engineering Sciences in Medicine,,39,4,10.1007/s13246-016-0494-2,,2016,http://link.springer.com/article/10.1007/s13246-016-0494-2,Article,,,"EPSM 2016, Engineering and Physical Sciences in Medicine"
"ESMRMB 2012, 29th Annual Scientific Meeting, Lisbon, Portugal, 4-6 October: EPOSTM Poster / Paper Poster / Clinical Review Poster / Software Exhibits","Magnetic Resonance Materials in Physics, Biology and Medicine",,25,1,10.1007/s10334-012-0324-9,,2012,http://link.springer.com/article/10.1007/s10334-012-0324-9,Article,,,"ESMRMB 2012, 29th Annual Scientific Meeting, Lisbon, Portugal, 4-6 October: EPOSTM Poster / Paper Poster / Clinical Review Poster / Software Exhibits"
LC MS Challenges in Characterizing and Quantifying Monoclonal Antibodies (mAb) and Antibody-Drug Conjugates (ADC) in Biological Samples,Current Pharmacology Reports,,,,10.1007/s40495-017-0118-x,Cong WeiDian SuJian WangWenying JianDonglu Zhang,2018,http://link.springer.com/article/10.1007/s40495-017-0118-x,Article,"Monoclonal antibody (mAb) represents majority of protein therapeutics with more than 50 antibodies and 3 antibody-drug conjugates (ADCs) on the market to treat cancers and other diseases. Liquid chromatography mass spectrometry (LC-MS) provides a common tool and has been routinely used to characterize and quantify mAb and ADCs and their catabolites in discovery as well as development of antibody-related therapeutics. The major challenges for LC-MS-based analysis of mAb include limited sensitivity and lack of understanding of the nature of biotransformation and its impact on quantitation data. The analytical challenges associated with ADCs are around characterizing and quantifying the dynamically changing mixture of ADC species in circulation due to catabolism of the antibody, linker, or payload. Tissue collection and analysis, although is practically limited in the clinical research, offers direct assessment of the responsible molecular species at the site of action for the efficacy and toxicity. This review attempts to discuss LC-MS-based analytical challenges and opportunities in discovery and development of mAb and ADC therapeutics. Potential applications of the LC-MS analytical data in relation to the efficacy and toxicity of these molecular entities are also discussed here.","Cong Wei, Dian Su, Jian Wang, Wenying Jian, Donglu Zhang",LC MS Challenges in Characterizing and Quantifying Monoclonal Antibodies (mAb) and Antibody-Drug Conjugates (ADC) in Biological Samples
Solar Forcing of Climate. 2: Evidence from the Past,Space Science Reviews,,120,3 - 4,10.1007/s11214-005-7047-4,Gerard J. M. Versteegh,2005,http://link.springer.com/article/10.1007/s11214-005-7047-4,Article,The nature of the climatic response to solar forcing and its geographical coherence is reviewed. This information is of direct relevance for evaluating solar forcing mechanisms and validating climate models.,Gerard J. M. Versteegh,Solar Forcing of Climate. 2: Evidence from the Past
60TH ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,23,1,10.1007/s13361-012-0381-3,Judith Sjoberg,2012,http://link.springer.com/article/10.1007/s13361-012-0381-3,Article,,Judith Sjoberg,60TH ASMS Conference on Mass Spectrometry and Allied Topics
Using accuracy in scientific discovery,Machine Learning   EWSL-91,,,,10.1007/BFb0017008,M. Moulet,1991,http://link.springer.com/chapter/10.1007/BFb0017008,Chapter,"Learning by discovery aims at bringing to light laws from a set of numerical or symbolic data. Our work deals with the improvement of the discovery system ABACUS created by Michalski and Falkenhainer, and in particular, with the way the system makes use of informative accuracy of the data. ABACUS, like most others current discovery systems does not use this information in the real physical sense, that means accuracy given by the measure device. However, in experimental domains accuracy cannot obviously be separated from the data. In this paper, we show how, when used in a more realistic manner, this information can significantly improve not only the accuracy of the results but also the efficiency of the search algorithm. Several additional modifications to ABACUS to improve the robustness of the system without losing generality will also be described.",M. Moulet,
Identifying important variables for predicting travel time of freeway with non-recurrent congestion with neural networks,Neural Computing and Applications,,23,6,10.1007/s00521-012-1114-z,Chi-Sen LiMu-Chen Chen,2013,http://link.springer.com/article/10.1007/s00521-012-1114-z,Article,"The provision of long-distance travel time information has been a major factor facilitating the intelligent transportation system to become more successful. Previous studies have pointed out that non-recurrent congestion is the major cause of freeway delay. The long travel distance complicates the characteristics of traffic flow. Hence, how to improve the prediction capability of long-distance travel time in the case of non-recurrent congestion is an important issue that must be overcome in the field of travel time prediction. This study constructs the travel time prediction model for a segment of 36.1 kms (including eight interchanges) in the National Freeway No. 1, Taiwan, by using the multilayer perceptron. To improve the prediction capability of the model in the case of non-recurrent congestion, this study collects data of average spot speed and heavy vehicle volume gathered by dual-loop vehicle detectors, in addition to rainfall and temporal feature. Furthermore, the historical travel time inferred from the original data of electronic toll collection (ETC) system is also used as the input variable, and the actual travel time inferred from ETC is used as the training target to establish a robust prediction model. As suggested by the results of 168 experimental combinations, the most appropriate prediction model established in this study is a highly accurate forecasting model with MAPE of 6.47 %.","Chi-Sen Li, Mu-Chen Chen",Identifying important variables for predicting travel time of freeway with non-recurrent congestion with neural networks
Gene-Expression Programming for the Development of a Stage-Discharge Curve of the Pahang River,Water Resources Management,,25,11,10.1007/s11269-011-9845-7,Hazi Mohammad AzamathullaAminuddin Ab. GhaniCheng Siang LeowChun Kiat ChangNor Azazi Zakaria,2011,http://link.springer.com/article/10.1007/s11269-011-9845-7,Article,"This study presents Gene-Expression Programming (GEP), an extension of Genetic Programming (GP), as an alternative approach to modeling the stage-discharge relationship for the Pahang River. The results are compared to those obtained by more conventional methods, i.e., the stage rating curve (SRC) and regression techniques. Additionally, the explicit formulations of the developed GEP models are presented. The performance of the GEP model was found to be substantially superior to both GP and the conventional models.","Hazi Mohammad Azamathulla, Aminuddin Ab. Ghani, Cheng Siang Leow, Chun Kiat Chang, Nor Azazi Zakaria",Gene-Expression Programming for the Development of a Stage-Discharge Curve of the Pahang River
Abstractband DOG 2017,Der Ophthalmologe,,114,2,10.1007/s00347-017-0551-6,,2017,http://link.springer.com/article/10.1007/s00347-017-0551-6,Article,,,Abstractband DOG 2017
Understanding Protein-Protein Interactions: From Domain Level to Motif Level,Networks: From Biology to Theory,,,,10.1007/978-1-84628-780-0_11,Huan YuMinping QianMinghua Deng,2007,http://link.springer.com/chapter/10.1007/978-1-84628-780-0_11,Chapter,"Understanding protein functional interactions is an important research focus in the post-genomic era. The identification of interacting motif pairs is essential for exploring the mechanism of protein interactions. We describe a wordcounting approach for discovering motif pairs from known interactions and pairs of proteins that are putatively not to interact. Our interacting motif pairs are validated by multiple-chain PDB structures and motif pairs extracted from PDB structures. The motif pairs are used to predict interactions between proteins by three different methods. For all the methods used, our predicted protein-protein interactions significantly overlap with the experimental physical interactions. Furthermore, the mean correlation coefficients of the gene expression profiles for our predicted protein pairs are significantly higher than that for random pairs. Supplementary materials are available online at http://ctb.pku.edu.cn/ yuhuan.","Huan Yu, Minping Qian, Minghua Deng",
Abstracts accepted for American Conference on Pharmacometrics 2016 (ACoP7),Journal of Pharmacokinetics and Pharmacodynamics,,43,1,10.1007/s10928-016-9485-x,,2016,http://link.springer.com/article/10.1007/s10928-016-9485-x,Article,,,Abstracts accepted for American Conference on Pharmacometrics 2016 (ACoP7)
"Abstracts der 107. Jahrestagung 
der Deutschen Gesellschaft für Kinder- 
und Jugendmedizin e.V. (DGKJ)",Monatsschrift Kinderheilkunde,,159,3,10.1007/s00112-011-2527-y,,2011,http://link.springer.com/article/10.1007/s00112-011-2527-y,Article,,,"Abstracts der 107. Jahrestagung 
der Deutschen Gesellschaft für Kinder- 
und Jugendmedizin e.V. (DGKJ)"
"Poster presentations, P530-P794",European Journal of Nuclear Medicine and Molecular Imaging,,32,1,10.1007/s00259-005-1946-1,,2005,http://link.springer.com/article/10.1007/s00259-005-1946-1,Article,,,"Poster presentations, P530-P794"
"ESMRMB 2009 Congress, Antalya, Turkey, 1 3 October: EPOS
                tm
               Posters / Paper Posters / Info-RESO","Magnetic Resonance Materials in Physics, Biology and Medicine",,22,1,10.1007/s10334-009-0178-y,,2009,http://link.springer.com/article/10.1007/s10334-009-0178-y,Article,,,"ESMRMB 2009 Congress, Antalya, Turkey, 1 3 October: EPOS tm  Posters / Paper Posters / Info-RESO"
Expression Profiling with cDNA Microarrays: A User s Perspective and Guide,DNA Microarrays: Gene Expression Applications,,,,10.1007/978-3-642-56517-5_2,Sean GrimmondAndy Greenfield,2001,http://link.springer.com/chapter/10.1007/978-3-642-56517-5_2,Chapter,"Genomic science has now advanced to the point where it is possible to define the genomic structure and gene content of any organism. Such advances have led to the development of expression tools that can study gene expression in a massively parallel fashion. These methods are also affordable, sensitive, discriminating, and require minimal sample RNA. cDNA microarray expression profiling is a rapidly developing technology that makes possible monitoring of gene expression on a genome-wide scale.","Sean Grimmond, Andy Greenfield",
"ESMRMB 2011, 28th Annual Scientific Meeting, Leipzig, Germany, 6-8 October: EPOSTM Posters / Paper Posters / Clinical Review Posters / Software Exhibits","Magnetic Resonance Materials in Physics, Biology and Medicine",,24,1,10.1007/s10334-011-0268-5,,2011,http://link.springer.com/article/10.1007/s10334-011-0268-5,Article,,,"ESMRMB 2011, 28th Annual Scientific Meeting, Leipzig, Germany, 6-8 October: EPOSTM Posters / Paper Posters / Clinical Review Posters / Software Exhibits"
Failure mechanism and stability analysis of the Zhenggang landslide in Yunnan Province of China using 3D particle flow code simulation,Journal of Mountain Science,,13,5,10.1007/s11629-014-3399-0,Chong ShiDe-jie LiKai-hua ChenJia-wen Zhou,2016,http://link.springer.com/article/10.1007/s11629-014-3399-0,Article,"Based on the principle of 3D particle flow code, a numerical landslide run-out model is presented to simulate the failure process of the Zhenggang landslide (in southwestern China) under the effect of water after a rainfall. The relationship between the micro-mechanical parameters and the macro-shear strength of the grain material is determined through numerical calibrations. Then the rainfall effect is considered in numerical simulations and rain-induced sliding processes are performed, which help us to discuss the mechanism of deformation and failure of this landslide together with field observations. It shows the Zhenggang landslide would most likely be activated in Zone I and would gain momentum in Zone II. In order to prevent the potential disaster, a tailing dam is advised to be designed about 175 m downstream from the current landslide boundary of Zone II. Verified by field observations, the presented landslide model can reflect the failure mechanism after rainfall. It can also provide a method to predict the potential disaster and draft disaster prevention measures.","Chong Shi, De-jie Li, Kai-hua Chen, Jia-wen Zhou",Failure mechanism and stability analysis of the Zhenggang landslide in Yunnan Province of China using 3D particle flow code simulation
Monday posters,Journal of the American Society for Mass Spectrometry,,19,5,10.1016/j.jasms.2008.04.010,,2008,http://link.springer.com/article/10.1016/j.jasms.2008.04.010,Article,,,Monday posters
"Vegetation geo-climatic zonation in the rocky mountains, Northern Utah, USA",Journal of Mountain Science,,11,3,10.1007/s11629-013-2793-3,Antonin KusbachHelga Van MiegroetJanis L. BoettingerJames N. Long,2014,http://link.springer.com/article/10.1007/s11629-013-2793-3,Article,"We developed a vegetation geo-climatic zonation incorporating the zonal concept, gradient and discriminant analysis in Wasatch Range, northern Utah, USA. Mountainous forest ecosystems were sampled and described by vegetation, physiographic features and soil properties. The Snowpack Telemetry and National Weather Service Cooperative Observer Program weather station networks were used to approximate the climate of sample plots. We analysed vegetation and environmental data using clustering, ordination, classification, and ANOVA techniques to reveal environmental gradients affecting a broad vegetation pattern and discriminate these gradients. The specific objective was to assess and classify the response of the complex vegetation to those environmental factors operating at a coarse-scale climatic level. Ordination revealed the dominant role of regional, altitude-based climate in the area. Based on vegetation physiognomy, represented by five tree species, climatic data and taxonomic classification of zonal soils, we identified two vegetation geo-climatic zones: (1) a montane zone, with Rocky Mountain juniper and Douglas-fir; and (2) a subalpine zone, with Engelmann spruce and subalpine fir as climatic climax species. Aspen was excluded from the zonation due to its great ecological amplitude. We found significant differences between the zones in regional climate and landform geomorphology/soils. Regional climate was represented by elevation, precipitation, and air and soil temperatures; and geomorphology by soil types. This coarse-scale vegetation geo-climatic zonation provides a framework for a comprehensive ecosystem survey, which is missing in the central Rocky Mountains of the United States. The vegetation-geoclimatic zonation represents a conceptual improvement on earlier classifications. This framework explicitly accounts for the influence of the physical environment on the distribution of vegetation within a complex landscape typical of the central Rocky Mountains and in mountain ranges elsewhere.","Antonin Kusbach, Helga Van Miegroet, Janis L. Boettinger, James N. Long","Vegetation geo-climatic zonation in the rocky mountains, Northern Utah, USA"
"15th ISoP Annual Meeting  Cubism in Pharmacovigilance  Prague, Czech Republic 27-30 October, 2015",Drug Safety,,38,10,10.1007/s40264-015-0346-0,,2015,http://link.springer.com/article/10.1007/s40264-015-0346-0,Article,,,"15th ISoP Annual Meeting  Cubism in Pharmacovigilance  Prague, Czech Republic 27-30 October, 2015"
"Periodicals, Proceedings, Books, Activities","Literature 1997, Part 1",,,,10.1007/978-3-642-51758-7_3,G. BurkhardtU. EsserH. HefeleI. HeinrichW. HofmannV. R. MatasL. D. SchmadelR. WielenG. Zech,1998,http://link.springer.com/chapter/10.1007/978-3-642-51758-7_3,Chapter,,"G. Burkhardt, U. Esser, H. Hefele, I. Heinrich, W. Hofmann, V. R. Matas, L. D. Schmadel, R. Wielen, G. Zech",
Abstracts,Drug Safety,,35,10,10.1007/BF03261983,,2012,http://link.springer.com/article/10.1007/BF03261983,Article,,,Abstracts
Object Detection in Low-Resolution Image via Sparse Representation,MultiMedia Modeling,,,,10.1007/978-3-319-14445-0_21,Wenhua FangJun ChenChao LiangXiao WangYuanyuan NanRuimin Hu,2015,http://link.springer.com/chapter/10.1007/978-3-319-14445-0_21,Chapter,"We propose a novel object detection framework in extreme Low-Resolution (LR) images via sparse representation. Object detection in extreme LR images is very important for some specific applications such as abnormal event detection, automatic criminal investigation from surveillance videos. Object detection has achieved much progress in computer vision, but it is still a challenging task in LR image, because traditional discriminative features in high resolution usually disappear in low resolution. The precision of the detector in LR will decrease by a large margin. Our model uses sparse coding of part filters to represent each filter as a sparse linear combination of shared dictionary elements. The main contribution of this paper: 1) the object detection framework in extreme LR is proposed by detecting objects in reconstructed HR image; 2) a mapping function from LR patches to High-Resolution (HR) patches will be learned by a local regression algorithm called sparse support regression, which can be constructed from the support based of the LR-HR dictionary; 3) a novel feature extraction method is proposed to accelerate by extracting visual features from HR dictionary atoms. Our approach has produced better performance for object detection than state-of-the-art methods. Testing our method from INRIA and PASCAL VOC 2007 datasets has revealed similar improvements, suggesting that our approach is suitable for general object detection applications.","Wenhua Fang, Jun Chen, Chao Liang, Xiao Wang, Yuanyuan Nan, Ruimin Hu",
Abstracts of 41st National Conference of Association of Clinical Biochemists of India (ACBICON 2014),Indian Journal of Clinical Biochemistry,,29,1,10.1007/s12291-014-0471-z,,2014,http://link.springer.com/article/10.1007/s12291-014-0471-z,Article,,,Abstracts of 41st National Conference of Association of Clinical Biochemists of India (ACBICON 2014)
"Flash flood susceptibility analysis and its mapping using different bivariate models in Iran: a comparison between Shannon s entropy, statistical index, and weighting factor models",Environmental Monitoring and Assessment,,188,12,10.1007/s10661-016-5665-9,Khabat KhosraviHamid Reza PourghasemiKamran ChapiMasoumeh Bahri,2016,http://link.springer.com/article/10.1007/s10661-016-5665-9,Article,"Flooding is a very common worldwide natural hazard causing large-scale casualties every year; Iran is not immune to this thread as well. Comprehensive flood susceptibility mapping is very important to reduce losses of lives and properties. Thus, the aim of this study is to map susceptibility to flooding by different bivariate statistical methods including Shannon's entropy (SE), statistical index (SI), and weighting factor (Wf). In this regard, model performance evaluation is also carried out in Haraz Watershed, Mazandaran Province, Iran. In the first step, 211 flood locations were identified by the documentary sources and field inventories, of which 70% (151 positions) were used for flood susceptibility modeling and 30% (60 positions) for evaluation and verification of the model. In the second step, ten influential factors in flooding were chosen, namely slope angle, plan curvature, altitude, topographic wetness index (TWI), stream power index (SPI), distance from river, rainfall, geology, land use, and normalized difference vegetation index (NDVI). In the next step, flood susceptibility maps were prepared by these four methods in ArcGIS. As the last step, receiver operating characteristic (ROC) curve was drawn and the area under the curve (AUC) was calculated for quantitative assessment of each model. The results showed that the best model to estimate the susceptibility to flooding in Haraz Watershed was SI model with the prediction and success rates of 99.71 and 98.72%, respectively, followed by Wf and SE models with the AUC values of 98.1 and 96.57% for the success rate, and 97.6 and 92.42% for the prediction rate, respectively. In the SI and Wf models, the highest and lowest important parameters were the distance from river and geology. Flood susceptibility maps are informative for managers and decision makers in Haraz Watershed in order to contemplate measures to reduce human and financial losses.","Khabat Khosravi, Hamid Reza Pourghasemi, Kamran Chapi, Masoumeh Bahri","Flash flood susceptibility analysis and its mapping using different bivariate models in Iran: a comparison between Shannon s entropy, statistical index, and weighting factor models"
ESP Abstracts 2015,Virchows Archiv,,467,1,10.1007/s00428-015-1805-9,,2015,http://link.springer.com/article/10.1007/s00428-015-1805-9,Article,,, ESP Abstracts 2015 
On the Relations between Abductive and Inductive Explanation,Abduction and Induction,,,,10.1007/978-94-017-0606-3_9,Luca ConsoleLorenza Saitta,2000,http://link.springer.com/chapter/10.1007/978-94-017-0606-3_9,Chapter,"Abduction and induction are two forms of inference that are commonly used in many artificial intelligence tasks with the goal of generating explanations about the world. Paradigmatic is the case of Machine Learning. It traditionally relied on induction in order to generate hypotheses (Plotkin, 1970; Mitchell, 1982; Michalski, 1983b). However, some limitations emerging in purely inductive systems led researchers to propose the use of other reasoning mechanisms for learning, e.g. deduction (Mitchell et al., 1986; DeJong and Mooney, 1986), abduction (O'Rorke et al., 1990; Saitta et al., 1993) and analogy (Veloso and Carbonell, 1991). Thus, a precise characterization of the various mechanisms could contribute to clarify their relations with learning tasks.","Luca Console, Lorenza Saitta",
"Abstracts of the Papers Presented at the 100th Annual Meeting of the Potato Association of America Grand Rapids, Michigan, USA July 31-August 4, 2016",American Journal of Potato Research,,94,3,10.1007/s12230-017-9581-5,,2017,http://link.springer.com/article/10.1007/s12230-017-9581-5,Article,,,"Abstracts of the Papers Presented at the 100th Annual Meeting of the Potato Association of America Grand Rapids, Michigan, USA July 31-August 4, 2016"
"ESCP GSASA 38th symposium on clinical pharmacy 30 years 
of clinical pharmacy; a bright future ahead, 3rd 6th November 2009, Geneva, Switzerland",Pharmacy World & Science,,32,2,10.1007/s11096-010-9378-9,,2010,http://link.springer.com/article/10.1007/s11096-010-9378-9,Article,,,"ESCP GSASA 38th symposium on clinical pharmacy 30 years 
of clinical pharmacy; a bright future ahead, 3rd 6th November 2009, Geneva, Switzerland"
"Critical Systematic Evaluation and Thermodynamic Optimization of the Mn-RE System (RE = Tb, Dy, Ho, Er, Tm and Lu) with Key Experiments for the Mn-Dy System",Journal of Phase Equilibria and Diffusion,,35,6,10.1007/s11669-014-0345-3,Junghwan KimManas PaliwalShihuai ZhouHanshin ChoiIn-Ho Jung,2014,http://link.springer.com/article/10.1007/s11669-014-0345-3,Article,"Critical evaluation and optimization of all available phase diagrams and thermodynamic data for the Mn-RE (RE = Tb, Dy, Ho, Er, Tm, and Lu) systems has been conducted to obtain reliable thermodynamic functions of all the phases in the systems. Key experiments for the Mn-Dy system were performed using DSC and solution calorimeter. In the thermodynamic modeling, it is found that the Mn-RE systems show systematic changes in the phase diagrams and thermodynamic properties such as enthalpy of mixing in liquid state in the order of periodic number in the lanthanide series. The systematic thermodynamic modeling approach for RE elements allow to resolve inconsistencies in the experimental data and estimate unknown thermodynamic properties and phase equilibria of Mn-RE system.","Junghwan Kim, Manas Paliwal, Shihuai Zhou, Hanshin Choi, In-Ho Jung","Critical Systematic Evaluation and Thermodynamic Optimization of the Mn-RE System (RE = Tb, Dy, Ho, Er, Tm and Lu) with Key Experiments for the Mn-Dy System"
"Flow infusion electrospray ionisation mass spectrometry for high throughput, non-targeted metabolite fingerprinting: a review",Metabolomics,,9,1,10.1007/s11306-012-0449-x,John DraperAmanda J. LloydRoyston GoodacreManfred Beckmann,2013,http://link.springer.com/article/10.1007/s11306-012-0449-x,Article,"Producing a comprehensive overview of the chemical content of biologically-derived material is a major challenge. Apart from ensuring adequate metabolome coverage and issues of instrument dynamic range, mass resolution and sensitivity, there are major technical difficulties associated with data pre-processing and signal identification when attempting large scale, high-throughput experimentation. To address these factors direct infusion or flow infusion electrospray mass spectrometry has been finding utility as a high throughput metabolite fingerprinting tool. With little sample pre-treatment, no chromatography and instrument cycle times of less than 5 min it is feasible to analyse more than 1,000 samples per week. Data pre-processing is limited to aligning extracted mass spectra and mass-intensity matrices are generally ready in a working day for a month's worth of data mining and hypothesis generation. ESI-MS fingerprinting has remained rather qualitative by nature and as such ion suppression does not generally compromise data information content as originally suggested when the methodology was first introduced. This review will describe how the quality of data has improved through use of nano-flow infusion and mass-windowing approaches, particularly when using high resolution instruments. The increasingly wider availability of robust high accurate mass instruments actually promotes ESI-MS from a merely fingerprinting tool to the ranks of metabolite profiling and combined with MS/MS capabilities of hybrid instruments improved structural information is available concurrently. We summarise current applications in a wide range of fields where ESI-MS fingerprinting has proved to be an excellent tool for ""first pass"" metabolome analysis of complex biological samples. The final part of the review describes a typical workflow with reference to recently published data to emphasise key aspects of overall experimental design.","John Draper, Amanda J. Lloyd, Royston Goodacre, Manfred Beckmann","Flow infusion electrospray ionisation mass spectrometry for high throughput, non-targeted metabolite fingerprinting: a review"
"State-of-the-Art Chemical Analyses: Xenobiotics, Plant Proteomics, and Residues in Plant Based Products",Organic Xenobiotics and Plants,,,,10.1007/978-90-481-9852-8_12,Touradj SoloukiMohammad Ali KhalvatiMahsan MiladiBehrooz Zekavat,2011,http://link.springer.com/chapter/10.1007/978-90-481-9852-8_12,Chapter,"Utilizing modern analytical tools, ""x-omics"" approaches (e.g., genomics, metabolomics, proteomics, etc.), and data mining techniques for comprehensive characterization of plant metabolism of xenobiotics can enhance our ability to assess environmental impacts. However, a solid understanding of metabolic pathways at the molecular level is required for targeted exploitation of species-specific detoxifying abilities of various plants. Characterization of phytotoxic pathways and dynamic molecular interactions in biological systems requires a systematic approach that can merge data from multiple analytical techniques. In this chapter, a brief review on recent advances in analytical instruments, particularly high  performance mass spectrometers (MS) and allied techniques, and their impact on integrative biological studies in plant proteomics and botany are provided. Moreover, the importance of sample preparation, analyte separation, and standardization techniques are discussed. The significance of data correlation from high throughput and high resolution MS, multistage MS (MSn), ""bottom-up"" and  ""top-down"" proteomics, determination of various stress responses, and identification of post-translational modifications in plants are also discussed. The conclusions provide a summary of the current instrumental limitations and anticipated future directions and challenges in plant system biology studies.","Touradj Solouki, Mohammad Ali Khalvati, Mahsan Miladi, Behrooz Zekavat",
